ids,winzor,gaussian1,gaussian2,competetive_price,competetive_price_2,sellerCount,max,mean,name,sku,parent_id
14820,8197200.000000001,inf,inf,inf,inf,1,7452000,7452000.0,زودپز-استیل-کرکماز-turbo,inf,0
15022,21890000.0,inf,inf,inf,inf,1,19900000,19900000.0,زودپز-استیل-6-لیتر-کرکماز-vertex-black,A163,0
15053,28007100.0,21107528.409090906,23950000.0,inf,21400000.0,5,29900000,23339250.0,سرویس-9-پارچه-قابلمه-استیل-کرکماز-perla,A1609,0
15063,18590000.0,inf,inf,inf,inf,1,16900000,16900000.0,سرویس-7-پارچه-قابلمه-گرانیتی-کرکماز-lumia,A2674-1,0
21151,23834824.403598636,20945952.38095238,22800000.0,inf,20750000.0,28,86000000,23892464.285714287,توستر-دو-اسلایس-smeg,TSF01,0
21240,28486205.973006617,24868871.951219514,28100000.0,inf,24900000.0,18,30270000,25589444.444444444,توستر-چهار-اسلایس-smeg,TSF02,0
21418,77566217.40941878,66637500.0,73950000.0,inf,66500000.0,11,177000000,77130909.0909091,همزن-برقی-کاسه-دار-اسمگ-مدل-smf03,SMF03,0
21759,35077220.32714086,30914460.227272727,34200000.0,inf,30200000.0,20,69178310,33704115.5,دستگاه-قهوه-ساز-فیلتر-smeg,DCF02,0
21766,35077220.32714086,30914460.227272727,34200000.0,inf,30200000.0,20,69178310,33704115.5,دستگاه-قهوه-ساز-فیلتر-smeg-سبز,DCF02BL,21759
21767,35237475.08818251,31651437.5,34200000.0,inf,31150000.0,20,69178310,34149115.5,دستگاه-قهوه-ساز-فیلتر-smeg-سفید,DCF02WH,21759
21768,35077220.32714086,30914460.227272727,34200000.0,inf,30200000.0,20,69178310,33704115.5,دستگاه-قهوه-ساز-فیلتر-smeg-صورتی,DCF02PB,21759
21769,35237475.08818251,31651437.5,34200000.0,inf,31150000.0,20,69178310,34149115.5,دستگاه-قهوه-ساز-فیلتر-smeg-قرمز,DCF02RD,21759
